Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
215,Very Nice Cabinet Sized Jumeau Child.,http://auctions.morphyauctions.com/Very_Nice_Cabinet_Sized_Jumeau_Child_-LOT287508.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070777_1_sm.jpeg,7,1000,1845,2000,3000,18070777_
707,Lenci “Raquel Meller” Boudoir Doll.,http://auctions.morphyauctions.com/Lenci__Raquel_Meller__Boudoir_Doll_-LOT249925.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16321051_1_sm.jpeg,10,175,1875,750,1250,16321051_
3487,Rare Pouty SFBJ Character Doll.,http://auctions.morphyauctions.com/Rare_Pouty_SFBJ_Character_Doll____________________-LOT92463.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92463a_sm.jpeg,3,250,1888,1000,1500,92463a_
1922,Rare S & H Character Child.,http://auctions.morphyauctions.com/Rare_S___H_Character_Child________________________-LOT168874.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168874a_sm.jpeg,1,750,1888,3000,4000,168874a_
3621,Early French Bisque Head Fashion Doll.,http://auctions.morphyauctions.com/Early_French_Bisque_Head_Fashion_Doll_____________-LOT82168.aspx,https://auctions.morphyauctions.com/ItemImages/000082/82168a_sm.jpeg,5,150,1888,600,900,82168a_
3442,Early Kestner Child Doll.,http://auctions.morphyauctions.com/Early_Kestner_Child_Doll__________________________-LOT87474.aspx,https://auctions.morphyauctions.com/ItemImages/000087/87474a_sm.jpeg,2,375,1888,1500,2000,87474a_
2095,Sensational Early German Bébé Doll.,http://auctions.morphyauctions.com/Sensational_Early_German_B_b__Doll________________-LOT168487.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168487a_sm.jpeg,1,500,1888,2000,3000,168487a_
2059,– Lovely Jumeau Bébé Doll.,http://auctions.morphyauctions.com/__Lovely_Jumeau_B_b__Doll_________________________-LOT168852.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168852a_sm.jpeg,1,625,1888,2500,3500,168852a_
228,Lovely French Fashion Doll.,http://auctions.morphyauctions.com/Lovely_French_Fashion_Doll_-LOT287504.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070773_1_sm.jpeg,9,1000,1920,2000,3000,18070773_
1818,Dainty French All-Bisque Doll.,http://auctions.morphyauctions.com/Dainty_French_All_Bisque_Doll_____________________-LOT183097.aspx,https://auctions.morphyauctions.com/ItemImages/000183/183097a_sm.jpeg,1,500,1920,2000,3000,183097a_
586,Early French Bisque Fashion Doll.,http://auctions.morphyauctions.com/Early_French_Bisque_Fashion_Doll_-LOT249364.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16320996_1_sm.jpeg,14,375,1920,1500,2000,16320996_
8,Lovely Gesland French Fashion Doll.,http://auctions.morphyauctions.com/Lovely_Gesland_French_Fashion_Doll_-LOT450036.aspx,https://auctions.morphyauctions.com/ItemImages/000450/18190940_1_sm.jpeg,5,1300,1920,2500,3500,18190940_
1378,Heubach 8413 Character Baby,http://auctions.morphyauctions.com/Heubach_8413_Character_Baby_______________________-LOT212917.aspx,https://auctions.morphyauctions.com/ItemImages/000212/212917a_sm.jpeg,,250,1920,1000,2000,212917a_
22,'Very Nice Early 1880''s French Fashion Doll.',http://auctions.morphyauctions.com/Very_Nice_Early_1880_s_French_Fashion_Doll_-LOT449381.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190791_1_sm.jpeg,14,700,1920,1400,1800,18190791_
1740,E 12 J Bebe.,http://auctions.morphyauctions.com/E_12_J_Bebe_______________________________________-LOT182889.aspx,https://auctions.morphyauctions.com/ItemImages/000182/182889a_sm.jpeg,1,375,1920,1500,2500,182889a_
163,Early Kestner All Bisque with Blue Tasseled Black Boots.,http://auctions.morphyauctions.com/Early_Kestner_All_Bisque_with_Blue_Tasseled_Black_-LOT449066.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190731_1_sm.jpeg,18,500,1920,1000,2000,18190731_
768,Impressive Jumeau Bébé Doll.,http://auctions.morphyauctions.com/Impressive_Jumeau_B_b__Doll_______________________-LOT237791.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240523_1_sm.jpeg,16,650,1920,2500,3500,16240523_
1518,Rare China with Exposed Ears.,http://auctions.morphyauctions.com/Rare_China_with_Exposed_Ears______________________-LOT201504.aspx,https://auctions.morphyauctions.com/ItemImages/000201/201504a_sm.jpeg,1,625,1920,2500,4000,201504a_
1658,"26"" Bebe Reclame.",http://auctions.morphyauctions.com/26__Bebe_Reclame__________________________________-LOT203679.aspx,https://auctions.morphyauctions.com/ItemImages/000203/203679a_sm.jpeg,1,450,1920,1800,2800,203679a_
770,Large F.G. French Fashion.,http://auctions.morphyauctions.com/Large_F_G__French_Fashion_________________________-LOT237798.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240530_1_sm.jpeg,15,650,1920,2500,3500,16240530_
543,Attractive Jumeau Child Doll.,http://auctions.morphyauctions.com/Attractive_Jumeau_Child_Doll_-LOT249377.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16321006_1_sm.jpeg,10,375,1920,1500,2500,16321006_
18,Very Pretty Jumeau In Transitional Model.,http://auctions.morphyauctions.com/Very_Pretty_Jumeau_In_Transitional_Model_-LOT449346.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190757_1_sm.jpeg,6,750,1920,1500,2500,18190757_
258,Shy Faced Gauthier Bebe.,http://auctions.morphyauctions.com/Shy_Faced_Gauthier_Bebe_-LOT286869.aspx,https://auctions.morphyauctions.com/ItemImages/000286/18070589_1_sm.jpeg,18,500,1920,1000,1500,18070589_
956,French Jumeau Bebe.,http://auctions.morphyauctions.com/French_Jumeau_Bebe________________________________-LOT234534.aspx,https://auctions.morphyauctions.com/ItemImages/000234/16241073_1_sm.jpeg,11,500,1920,2000,3000,16241073_
1034,F.G. Bébé Doll.,http://auctions.morphyauctions.com/F_G__B_b__Doll____________________________________-LOT216353.aspx,https://auctions.morphyauctions.com/ItemImages/000216/216353a_sm.jpeg,2,375,1920,1500,2500,216353a_
268,Attractive Jules Steiner Child Doll.,http://auctions.morphyauctions.com/Attractive_Jules_Steiner_Child_Doll_-LOT286868.aspx,https://auctions.morphyauctions.com/ItemImages/000286/18070588_1_sm.jpeg,12,750,1920,1500,2250,18070588_
386,Large French Fashion Shoulder - Head Doll.,http://auctions.morphyauctions.com/Large_French_Fashion_Shoulder___Head_Doll_-LOT259849.aspx,https://auctions.morphyauctions.com/ItemImages/000259/17149502_1_sm.jpeg,15,450,1920,1800,2500,17149502_
3634,Early Greiner Papier-Mâché Doll.,http://auctions.morphyauctions.com/Early_Greiner_Papier_M_ch__Doll___________________-LOT83752.aspx,https://auctions.morphyauctions.com/ItemImages/000083/83752a_sm.jpeg,1,125,1920,500,750,83752a_
