Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
1626,Open Mouth Jumeau Bebe.,http://auctions.morphyauctions.com/Open_Mouth_Jumeau_Bebe____________________________-LOT203724.aspx,https://auctions.morphyauctions.com/ItemImages/000203/203724a_sm.jpeg,1,175,1037,700,1000,203724a_
1635,Lot of 2: German Bisque Head Dolls.,http://auctions.morphyauctions.com/Lot_of_2__German_Bisque_Head_Dolls________________-LOT203688.aspx,https://auctions.morphyauctions.com/ItemImages/000203/203688a_sm.jpeg,1,75,1037,300,400,203688a_
1789,Loveable French Poupée Doll.,http://auctions.morphyauctions.com/Loveable_French_Poup_e_Doll_______________________-LOT182935.aspx,https://auctions.morphyauctions.com/ItemImages/000182/182935a_sm.jpeg,1,200,1037,800,1200,182935a_
1571,Lot of 2: K & R Twin Dolls.,http://auctions.morphyauctions.com/Lot_of_2__K___R_Twin_Dolls________________________-LOT203785.aspx,https://auctions.morphyauctions.com/ItemImages/000203/203785a_sm.jpeg,2,50,1037,200,400,203785a_
1030,Lot Of 2: Bisque Type Dolls.,http://auctions.morphyauctions.com/Lot_Of_2__Bisque_Type_Dolls_______________________-LOT225056.aspx,https://auctions.morphyauctions.com/ItemImages/000225/225056a_sm.jpeg,2,187,1037,750,1000,225056a_
1774,Lot of 2: Large Wigged Bathing Beauties.,http://auctions.morphyauctions.com/Lot_of_2__Large_Wigged_Bathing_Beauties___________-LOT189908.aspx,https://auctions.morphyauctions.com/ItemImages/000189/189908a_sm.jpeg,1,287,1037,1150,1350,189908a_
589,Nice Jumeau Bébé.,http://auctions.morphyauctions.com/Nice_Jumeau_B_b__-LOT249384.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16321013_1_sm.jpeg,16,375,1045.5,1500,2000,16321013_
174,Lot of 2: Early German All Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Early_German_All_Bisque_Dolls_-LOT449055.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190721_1_sm.jpeg,11,300,1045.5,600,800,18190721_
103,Lot of 2: Joel Ellis American Wooden Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Joel_Ellis_American_Wooden_Dolls_-LOT449443.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190828_1_sm.jpeg,11,450,1045.5,900,1200,18190828_
492,German Classroom Diorama.,http://auctions.morphyauctions.com/German_Classroom_Diorama_-LOT246219.aspx,https://auctions.morphyauctions.com/ItemImages/000246/16320427_1_sm.jpeg,9,250,1045.5,1000,2000,16320427_
879,S & H 719 Bébé Doll.,http://auctions.morphyauctions.com/S___H_719_B_b__Doll_______________________________-LOT237872.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240576_1_sm.jpeg,23,200,1045.5,800,1200,16240576_
1024,Beautiful French Doll Playing Piano Automaton.,http://auctions.morphyauctions.com/Beautiful_French_Doll_Playing_Piano_Automaton_____-LOT235430.aspx,https://auctions.morphyauctions.com/ItemImages/000235/16240386_1_sm.jpeg,6,200,1045.5,800,1200,16240386_
4254,Composition Mme Alexander Dionne Quintuplet Emeli,http://auctions.morphyauctions.com/Composition_Mme_Alexander_Dionne_Quintuplet_Emeli_-LOT26181.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26181a_sm.jpeg,1,75,1053,300,400,26181a_
4275,Clockwork Boy with Pigs.,http://auctions.morphyauctions.com/Clockwork_Boy_with_Pigs___________________________-LOT24817.aspx,https://auctions.morphyauctions.com/ItemImages/000024/24817a_sm.jpeg,5,250,1053,1000,1500,24817a_
312,Lot of 2: Closed Mouth Kestner Child Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Closed_Mouth_Kestner_Child_Dolls_-LOT275558.aspx,https://auctions.morphyauctions.com/ItemImages/000275/17220240_1_sm.jpeg,21,200,1054,800,1200,17220240_
324,Lot of 2: Bisque Head Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Bisque_Head_Dolls_-LOT275584.aspx,https://auctions.morphyauctions.com/ItemImages/000275/17220269_1_sm.jpeg,22,100,1054,400,600,17220269_
344,Lot of 3: Large German Open Mouth Children.,http://auctions.morphyauctions.com/Lot_of_3__Large_German_Open_Mouth_Children_-LOT276910.aspx,https://auctions.morphyauctions.com/ItemImages/000276/17220368_1_sm.jpeg,16,125,1054,500,700,17220368_
3229,Lovely French Fashion Lady Doll.,http://auctions.morphyauctions.com/Lovely_French_Fashion_Lady_Doll___________________-LOT92445.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92445a_sm.jpeg,3,375,1062,1500,2500,92445a_
2026,Pouty K & R Character Child.,http://auctions.morphyauctions.com/Pouty_K___R_Character_Child_______________________-LOT168506.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168506a_sm.jpeg,1,175,1062,700,1000,168506a_
3419,Stunning Belton Style Child Doll.,http://auctions.morphyauctions.com/Stunning_Belton_Style_Child_Doll__________________-LOT87463.aspx,https://auctions.morphyauctions.com/ItemImages/000087/87463a_sm.jpeg,5,300,1062,1200,1800,87463a_
3411,Skookum Display Indian Doll.,http://auctions.morphyauctions.com/Skookum_Display_Indian_Doll_______________________-LOT93303.aspx,https://auctions.morphyauctions.com/ItemImages/000093/93303a_sm.jpeg,2,75,1062,300,500,93303a_
2097,Delightful S & H Child Doll.,http://auctions.morphyauctions.com/Delightful_S___H_Child_Doll_______________________-LOT168588.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168588a_sm.jpeg,1,325,1062,1300,1800,168588a_
2034,Rare Googly Doll With Molded Hat.,http://auctions.morphyauctions.com/Rare_Googly_Doll_With_Molded_Hat__________________-LOT168628.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168628a_sm.jpeg,2,250,1062,1000,1500,168628a_
2035,Darling K & R Character Doll.,http://auctions.morphyauctions.com/Darling_K___R_Character_Doll______________________-LOT162923.aspx,https://auctions.morphyauctions.com/ItemImages/000162/162923a_sm.jpeg,1,200,1062,800,1200,162923a_
442,Lot Of 7: Full Sized Schoenhut Wild Animals.,http://auctions.morphyauctions.com/Lot_Of_7__Full_Sized_Schoenhut_Wild_Animals_-LOT257245.aspx,https://auctions.morphyauctions.com/ItemImages/000257/17070730_1_sm.jpeg,6,150,1079.5,600,900,17070730_
428,Käthe Kruse Doll VIII Boy.,http://auctions.morphyauctions.com/K_the_Kruse_Doll_VIII_Boy_-LOT257791.aspx,https://auctions.morphyauctions.com/ItemImages/000257/17070818_1_sm.jpeg,20,125,1079.5,500,700,17070818_
306,Stiff Neck French Fashion.,http://auctions.morphyauctions.com/Stiff_Neck_French_Fashion_-LOT275553.aspx,https://auctions.morphyauctions.com/ItemImages/000275/17220235_1_sm.jpeg,22,200,1079.5,800,1200,17220235_
359,Lot of 3: German Open Mouth Dolls.,http://auctions.morphyauctions.com/Lot_of_3__German_Open_Mouth_Dolls_-LOT276908.aspx,https://auctions.morphyauctions.com/ItemImages/000276/17220366_1_sm.jpeg,16,125,1079.5,500,800,17220366_
1768,Lot of 2: Wigged Bathing Beauties.,http://auctions.morphyauctions.com/Lot_of_2__Wigged_Bathing_Beauties_________________-LOT189900.aspx,https://auctions.morphyauctions.com/ItemImages/000189/189900a_sm.jpeg,1,237,1080,950,1250,189900a_
570,Jointed Grodnertal Wooden Doll.,http://auctions.morphyauctions.com/Jointed_Grodnertal_Wooden_Doll_-LOT249383.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16321012_1_sm.jpeg,5,250,1080,1000,1500,16321012_
1567,Lot of 2 Antique Papier-Mâché Dolls in Chair.,http://auctions.morphyauctions.com/Lot_of_2_Antique_Papier_M_ch__Dolls_in_Chair______-LOT201778.aspx,https://auctions.morphyauctions.com/ItemImages/000201/201778a_sm.jpeg,2,200,1080,800,1200,201778a_
166,Early Kestner All Bisque with Blue Tasseled Black Boots.,http://auctions.morphyauctions.com/Early_Kestner_All_Bisque_with_Blue_Tasseled_Black_-LOT449065.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190730_1_sm.jpeg,13,425,1080,850,1250,18190730_
3916,Rare “Miss Ondine” French Swimming Doll.,http://auctions.morphyauctions.com/Rare__Miss_Ondine__French_Swimming_Doll___________-LOT79830.aspx,https://auctions.morphyauctions.com/ItemImages/000079/79830a_sm.jpeg,2,300,1080,1200,1800,79830a_
528,Early Kestner All-Bisque Doll.,http://auctions.morphyauctions.com/Early_Kestner_All_Bisque_Doll_-LOT246287.aspx,https://auctions.morphyauctions.com/ItemImages/000246/16320447_1_sm.jpeg,24,200,1080,800,1200,16320447_
1584,All Original German Hand-Cranked Automaton.,http://auctions.morphyauctions.com/All_Original_German_Hand_Cranked_Automaton________-LOT199308.aspx,https://auctions.morphyauctions.com/ItemImages/000199/199308a_sm.jpeg,1,200,1080,800,1200,199308a_
4395,Lot of 2: Rare German Bisque Girls.,http://auctions.morphyauctions.com/Lot_of_2__Rare_German_Bisque_Girls________________-LOT26467.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26467a_sm.jpeg,2,100,1080,400,500,26467a_
279,French Bisque Eden Bebe.,http://auctions.morphyauctions.com/French_Bisque_Eden_Bebe_-LOT287534.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070802_1_sm.jpeg,18,300,1080,600,800,18070802_
907,Wigged All Bisque Flapper Lady,http://auctions.morphyauctions.com/Wigged_All_Bisque_Flapper_Lady____________________-LOT238816.aspx,https://auctions.morphyauctions.com/ItemImages/000238/16240726_1_sm.jpeg,18,50,1080,250,450,16240726_
